banchostats_id,users_irc,users_osu,multiplayer_games,date
209,127,10376,337,2016-06-08 06:28:40
210,127,10388,336,2016-06-08 06:27:34
211,128,10397,333,2016-06-08 06:26:28
212,127,10414,338,2016-06-08 06:25:23
213,129,10447,342,2016-06-08 06:24:18
214,131,10450,334,2016-06-08 06:23:11
215,128,10469,330,2016-06-08 06:22:05
216,129,10503,327,2016-06-08 06:20:58
217,128,10507,322,2016-06-08 06:19:53
218,130,10494,327,2016-06-08 06:18:47
219,133,10473,326,2016-06-08 06:17:41
220,132,10538,319,2016-06-08 06:16:34
221,132,10554,313,2016-06-08 06:15:28
222,132,10583,325,2016-06-08 06:14:22
223,131,10660,330,2016-06-08 06:13:15
224,133,10691,334,2016-06-08 06:12:09
225,132,10740,346,2016-06-08 06:11:02
226,133,10748,342,2016-06-08 06:09:54
227,134,10808,346,2016-06-08 06:08:48
228,133,10867,345,2016-06-08 06:07:41
229,133,10830,344,2016-06-08 06:06:35
230,136,10855,344,2016-06-08 06:05:27
231,134,10882,345,2016-06-08 06:04:20
232,134,10890,345,2016-06-08 06:03:14
233,135,10980,357,2016-06-08 06:02:07
234,135,10976,353,2016-06-08 06:01:00
235,135,11013,352,2016-06-08 05:59:53
236,136,11032,353,2016-06-08 05:58:45
237,137,11058,355,2016-06-08 05:57:38
238,138,11115,360,2016-06-08 05:56:29
239,138,11108,357,2016-06-08 05:55:22
240,138,11135,360,2016-06-08 05:54:15
241,138,11178,359,2016-06-08 05:53:08
242,140,11208,364,2016-06-08 05:52:01
243,140,11199,379,2016-06-08 05:50:53
244,138,11248,378,2016-06-08 05:49:46
245,138,11266,382,2016-06-08 05:48:38
246,138,11349,389,2016-06-08 05:47:30
247,138,11391,389,2016-06-08 05:46:23
248,137,11430,395,2016-06-08 05:45:16
249,139,11414,387,2016-06-08 05:44:08
250,139,11445,388,2016-06-08 05:43:00
251,138,11427,378,2016-06-08 05:41:52
252,138,11477,382,2016-06-08 05:40:45
253,138,11521,382,2016-06-08 05:39:37
254,138,11546,385,2016-06-08 05:38:29
255,138,11551,375,2016-06-08 05:37:21
256,139,11582,371,2016-06-08 05:36:14
257,140,11614,371,2016-06-08 05:35:06
258,138,11646,372,2016-06-08 05:33:58
259,139,11683,368,2016-06-08 05:32:49
260,139,11722,370,2016-06-08 05:31:41
261,138,11761,370,2016-06-08 05:30:33
262,138,11743,389,2016-06-08 05:29:23
263,137,11776,379,2016-06-08 05:28:14
264,135,11854,375,2016-06-08 05:27:05
265,137,11904,369,2016-06-08 05:25:56
266,137,11974,383,2016-06-08 05:24:47
267,136,12013,385,2016-06-08 05:23:38
268,135,12028,391,2016-06-08 05:22:28
269,137,12039,397,2016-06-08 05:21:18
270,136,12089,394,2016-06-08 05:20:08
271,136,12151,403,2016-06-08 05:18:59
272,137,12180,401,2016-06-08 05:17:50
